player_id,player_name,team,position,bye_week
10001,Aaron Rodgers,NYJ,QB,7
10002,Aidan O'Connell,LV,QB,13
10003,Andy Dalton,CAR,QB,7
10004,Anthony Richardson,IND,QB,11
10005,Bailey Zappe,NE,QB,11
10006,Baker Mayfield,TB,QB,5
10007,Blaine Gabbert,KC,QB,10
10008,Brian Hoyer,LV,QB,13
10009,Brock Purdy,SF,QB,9
10010,Bryce Young,CAR,QB,7
10011,C.J. Beathard,JAX,QB,9
10012,C.J. Stroud,HOU,QB,7
10013,Carson Wentz,FA,QB,0
10014,Clayton Tune,ARZ,QB,14
10015,Colt McCoy,ARZ,QB,14
10016,Cooper Rush,DAL,QB,7
10017,Dak Prescott,DAL,QB,7
10018,Daniel Jones,NYG,QB,13
10019,Davis Mills,HOU,QB,7
10020,Derek Carr,NO,QB,11
10021,Deshaun Watson,CLE,QB,5
10022,Desmond Ridder,ATL,QB,11
10023,Drew Lock,SEA,QB,5
10024,Easton Stick,LAC,QB,5
10025,Gardner Minshew II,IND,QB,11
10026,Geno Smith,SEA,QB,5
10027,Hendon Hooker,DET,QB,9
10028,Jacoby Brissett,WAS,QB,14
10029,Jake Haener,NO,QB,11
10030,Jalen Hurts,PHI,QB,10
10031,Jameis Winston,NO,QB,11
10032,Jared Goff,DET,QB,9
10033,Jaren Hall,MIN,QB,13
10034,Jarrett Stidham,DEN,QB,9
10035,Jimmy Garoppolo,LV,QB,13
10036,Joe Burrow,CIN,QB,7
10037,John Wolford,TB,QB,5
10038,Jordan Love,GB,QB,6
10039,Josh Allen,BUF,QB,13
10040,Joshua Dobbs,CLE,QB,5
10041,Justin Fields,CHI,QB,13
10042,Justin Herbert,LAC,QB,5
10043,Kenny Pickett,PIT,QB,6
10044,Kirk Cousins,MIN,QB,13
10045,Kyle Allen,BUF,QB,13
10046,Kyle Trask,TB,QB,5
10047,Kyler Murray,ARZ,QB,14
10048,Lamar Jackson,BAL,QB,13
10049,Mac Jones,NE,QB,11
10050,Malik Willis,TEN,QB,7
10051,Marcus Mariota,PHI,QB,10
10052,Matthew Stafford,LAR,QB,10
10053,Mike White,MIA,QB,10
10054,Mitch Trubisky,PIT,QB,6
10055,Nate Sudfeld,DET,QB,9
10056,Nick Mullens,MIN,QB,13
10057,P.J. Walker,CHI,QB,13
10058,Patrick Mahomes II,KC,QB,10
10059,Russell Wilson,DEN,QB,9
10060,Ryan Tannehill,TEN,QB,7
10061,Sam Darnold,SF,QB,9
10062,Sam Howell,WAS,QB,14
10063,Sean Clifford,GB,QB,6
10064,Skylar Thompson,MIA,QB,10
10065,Stetson Bennett,LAR,QB,10
10066,Taylor Heinicke,ATL,QB,11
10067,Teddy Bridgewater,FA,QB,0
10068,Trevor Lawrence,JAX,QB,9
10069,Trevor Siemian,CIN,QB,7
10070,Trey Lance,SF,QB,9
10071,Tua Tagovailoa,MIA,QB,10
10072,Tyler Huntley,BAL,QB,13
10073,Tyrod Taylor,NYG,QB,13
10074,Will Levis,TEN,QB,7
10075,Zach Wilson,NYJ,QB,7
20001,Aaron Jones,GB,RB,6
20002,AJ Dillon,GB,RB,6
20003,Alexander Mattison,MIN,RB,13
20004,Alvin Kamara,NO,RB,11
20005,Ameer Abdullah,LV,RB,13
20006,Anthony McFarland Jr.,PIT,RB,6
20007,Antonio Gibson,WAS,RB,14
20008,Austin Ekeler,LAC,RB,5
20009,Bijan Robinson,ATL,RB,11
20010,Breece Hall,NYJ,RB,7
20011,Brian Robinson Jr.,WAS,RB,14
20012,Cam Akers,LAR,RB,10
20013,Camerun Peoples,CAR,RB,7
20014,Chase Brown,CIN,RB,7
20015,Chase Edmonds,TB,RB,5
20016,Chris Rodriguez Jr.,WAS,RB,14
20017,Christian McCaffrey,SF,RB,9
20018,Chuba Hubbard,CAR,RB,7
20019,Clyde Edwards-Helaire,KC,RB,10
20020,Cordarrelle Patterson,ATL,RB,11
20021,Corey Clement,ARZ,RB,14
20022,Craig Reynolds,DET,RB,9
20023,D'Andre Swift,PHI,RB,10
20024,D'Ernest Johnson,JAX,RB,9
20025,D'Onta Foreman,CHI,RB,13
20026,Dalvin Cook,NYJ,RB,7
20027,Dameon Pierce,HOU,RB,7
20028,Damien Harris,BUF,RB,13
20029,Darrell Henderson Jr.,FA,RB,0
20030,David Montgomery,DET,RB,9
20031,De'Von Achane,MIA,RB,10
20032,DeeJay Dallas,SEA,RB,5
20033,Deneric Prince,KC,RB,10
20034,Deon Jackson,IND,RB,11
20035,Derrick Henry,TEN,RB,7
20036,Deuce Vaughn,DAL,RB,7
20037,Devin Singletary,HOU,RB,7
20038,DeWayne McBride,MIN,RB,13
20039,Dontrell Hilliard,FA,RB,0
20040,Elijah Mitchell,SF,RB,9
20041,Eno Benjamin,NO,RB,11
20042,Eric Gray,NYG,RB,13
20043,Evan Hull,IND,RB,11
20044,Ezekiel Elliott,NE,RB,11
20045,Gus Edwards,BAL,RB,13
20046,Hassan Hall,CLE,RB,5
20047,Hassan Haskins,TEN,RB,7
20048,Isaiah Spiller,LAC,RB,5
20049,Isiah Pacheco,KC,RB,10
20050,Israel Abanikanda,NYJ,RB,7
20051,J.K. Dobbins,BAL,RB,13
20052,Jahmyr Gibbs,DET,RB,9
20053,Jamaal Williams,NO,RB,11
20054,James Conner,ARZ,RB,14
20055,James Cook,BUF,RB,13
20056,James Robinson,NYG,RB,13
20057,JaMycal Hasty,JAX,RB,9
20058,Javonte Williams,DEN,RB,9
20059,Jaylen Warren,PIT,RB,6
20060,Jeff Wilson Jr.,MIA,RB,10
20061,Jerick McKinnon,KC,RB,10
20062,Jerome Ford,CLE,RB,5
20063,Joe Mixon,CIN,RB,7
20064,Jonathan Taylor,IND,RB,11
20065,Jordan Mason,SF,RB,9
20066,Josh Jacobs,LV,RB,13
20067,Joshua Kelley,LAC,RB,5
20068,Julius Chestnut,TEN,RB,7
20069,Justice Hill,BAL,RB,13
20070,Justin Jackson,DET,RB,9
20071,Kareem Hunt,FA,RB,0
20072,Ke'Shawn Vaughn,TB,RB,5
20073,Keaontay Ingram,ARZ,RB,14
20074,Keaton Mitchell,BAL,RB,13
20075,Kendre Miller,NO,RB,11
20076,Kene Nwangwu,MIN,RB,13
20077,Kenneth Gainwell,PHI,RB,10
20078,Kenneth Walker III,SEA,RB,5
20079,Kenny McIntosh,SEA,RB,5
20080,Kenyan Drake,FA,RB,0
20081,Kevin Harris,NE,RB,11
20082,Khalan Laborn,SF,RB,9
20083,Khalil Herbert,CHI,RB,13
20084,Kyren Williams,LAR,RB,10
20085,Latavius Murray,BUF,RB,13
20086,Leonard Fournette,FA,RB,0
20087,Lew Nichols III,GB,RB,6
20088,Malik Davis,DAL,RB,7
20089,Matt Breida,NYG,RB,13
20090,Melvin Gordon III,BAL,RB,13
20091,Michael Carter,NYJ,RB,7
20092,Mike Boone,HOU,RB,7
20093,Miles Sanders,CAR,RB,7
20094,Najee Harris,PIT,RB,6
20095,Nick Chubb,CLE,RB,5
20096,Pierre Strong Jr.,NE,RB,11
20097,Rachaad White,TB,RB,5
20098,Raheem Blackshear,CAR,RB,7
20099,Raheem Mostert,MIA,RB,10
20100,Rashaad Penny,PHI,RB,10
20101,Rhamondre Stevenson,NE,RB,11
